"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"autfilt %H > %O","ok",0,0.00752144,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.563219,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.570018,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.555108,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:1.1-16.7","Fp1",1,2,3,4,1,2,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.564607,1,2,3,4,1,2,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"autfilt %H > %O","ok",0,0.00782327,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.554988,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.544065,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.557159,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:17.1-40.7","Fp1 & Fp2",2,4,9,16,1,4,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.577602,2,4,9,16,1,4,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"autfilt %H > %O","ok",0,0.00814263,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 1 -I -O %O","ok",0,0.652114,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 2 -I -O %O","ok",0,0.557587,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -L 3 -I -O %O","ok",0,0.559638,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:41.1-86.7","Fp1 & Fp2 & Fp3",3,8,27,64,1,8,0,0,0,"/home/ter/Desktop/telatko-previous_paper_version/telatko.py -F %H -T 15 -I -O %O","ok",0,0.628735,3,8,27,64,1,8,0,0,0
"patterns-ltl2tgba.hoa:87.1-194.7","Fp1 & Fp2 & Fp3 & Fp4",4,16,81,256,1,16,0,0,0,"autfilt %H > %O","ok",0,0.0101719,4,16,81,256,1,16,0,0,0
